rm_id,product_id,product_version,raw_material_alloy,raw_material_format_type,stock_location
342,91900170,1.0,SB06 Traders,24.0,DELETED_28.02:2011_SB06 anodiz
343,91900143,2.0,SB02 606035,24.0,SB 02
345,91900143,2.0,SA10 606035,3.0,DELETED_28.02:2011_ST01
346,91900146,2.0,SA15 600540,3.0,DELETED_28.02:2011_SA 300370
347,91900143,2.0,SA13 606020,3.0,DELETED_28.02:2011_SA13 6035
348,91900143,2.0,SA11 606035,3.0,DELETED_28.02:2011_ST01
353,91900143,1.0,TYB 6060,23.0,DELETED_28.02:2011_TYB
354,91900182,1.0,SA99.5,21.0,DELETED_10.09:2015_SA 99.5
355,91900152,14.0,"PM99,7 Coils",7.0,DELETED_21.06:2019_Bobinas Primario
357,91900152,1.0,"PM99,7",25.0,DELETED_28.02:2011_ST04
357,91900152,3.0,"PM99,7",12.0,DELETED_28.02:2011_ST04
358,91900170,2.0,SA12 Trader,3.0,DELETED_28.02:2011_SB05 anodiz
360,91900160,1.0,SA16 608250,24.0,DELETED_28.02:2011_SA16 6082
362,91900143,6.0,606035 IS,1.0,DELETED_28.02:2011_TYB
362,91900143,13.0,606035 IS,32.0,SB 04
364,91900182,1.0,99.5 Grannalla,24.0,DELETED_10.09:2015_SA 99.5
364,91900182,4.0,99.5 Grannalla,24.0,DELETED_10.09:2015_SA 99.5
365,91900143,1.0,606035 CPS,24.0,DELETED_28.02:2011_SB03 900107
365,91900143,2.0,606035 CPS,24.0,DELETED_28.02:2011_ST06B
365,91900143,4.0,606035 CPS,24.0,SB 03
366,91900160,1.0,608250 CPS,24.0,DELETED_28.02:2011_SA16 6082
366,91900160,3.0,608250 CPS,24.0,DELETED_28.02:2011_SA16 6082
366,91900160,5.0,608250 CPS,24.0,SB 13
367,91900143,1.0,606015 CPS,24.0,DELETED_28.02:2011_SB03 900107
367,91900143,2.0,606015 CPS,24.0,DELETED_28.02:2011_SA13 6035
368,91900170,1.0,6063 Trader,24.0,DELETED_28.02:2011_SB06 anodiz
368,91900170,3.0,6063 Trader,24.0,DELETED_28.02:2011_SB05 anodiz
369,91900146,1.0,600540 CPS,24.0,DELETED_28.02:2011_SA15 6005
369,91900146,2.0,600540 CPS,24.0,DELETED_28.02:2011_SA15 6005
